%time,field.x,field.y,field.z,field.qw,field.qx,field.qy,field.qz,field.vx,field.vy,field.vz,field.angx,field.angy,field.angz
1651434030633612284,-0.023196084424853325,-0.0020639607682824135,-0.07078678905963898,0.9998574256896973,-0.0008661958854645491,-0.00039887160528451204,0.016857121139764786,0.00030014009098522365,-7.722058217041194e-05,2.1399397155619226e-05,-0.1875,0.1875,0.0625
1651434030636195268,-0.0231969952583313,-0.002065106527879834,-0.07078826427459717,0.9998573660850525,-0.000802313385065645,-0.0003843478043563664,0.01686716452240944,0.0002577966370154172,-0.00010195397771894932,-0.00010703733278205618,-0.1875,0.1875,0.0625
1651434030637630645,-0.023197883740067482,-0.0020660727750509977,-0.07078966498374939,0.9998573064804077,-0.0007714147795923054,-0.00037750383489765227,0.016871951520442963,0.00022036679729353637,-0.00012008753401460126,-0.00021297238708939403,-0.1875,0.1875,0.0625
1651434030639721371,-0.023199180141091347,-0.0020647223573178053,-0.07079017162322998,0.9998579025268555,-0.000839607382658869,-0.0003698990331031382,0.016831034794449806,0.00016778777353465557,-2.7173698981641792e-05,-0.0002714510483201593,-0.1875,0.1875,0.0625
1651434030641644484,-0.02319992519915104,-0.00206403317861259,-0.07079358398914337,0.9998583197593689,-0.0008402143139392138,-0.0003759831888601184,0.01680891588330269,0.00014527187158819288,2.578505882411264e-05,-0.0004574582271743566,-0.1875,0.1875,0.0625
1651434030644345039,-0.023200567811727524,-0.002063360996544361,-0.07079681754112244,0.9998584985733032,-0.0008405926637351513,-0.0003790438058786094,0.016797570511698723,0.00013044086517766118,7.437878957716748e-05,-0.0006190721760503948,-0.1875,0.1875,0.0625
1651434030645727339,-0.02320237085223198,-0.002063054358586669,-0.0707998126745224,0.9998583197593689,-0.0008603738970123231,-0.0004097666242159903,0.01680462434887886,6.33390955044888e-05,0.00010111128358403221,-0.0007542891544289887,-0.1875,0.1875,0.0625
1651434030648002895,-0.023203156888484955,-0.002060868078842759,-0.0708024650812149,0.9998580813407898,-0.0008958912803791463,-0.0003932651598006487,0.016817579045891762,4.9995025619864464e-05,0.00021192588610574603,-0.0008599395514465868,-0.1875,0.1875,0.0625
1651434030649680269,-0.023203834891319275,-0.0020589642226696014,-0.07080455869436264,0.9998579621315002,-0.0009125492651946843,-0.00038560465327464044,0.01682365871965885,3.8989299355307594e-05,0.0002992193913087249,-0.0009348946623504162,-0.1875,0.1875,0.0625
1651434030651762880,-0.02320590429008007,-0.0020600503776222467,-0.0708046406507492,0.999858021736145,-0.0008880613022483885,-0.00034967513056471944,0.016822773963212967,-3.2655847462592646e-05,0.00024076999397948384,-0.000907145207747817,-0.1875,0.1875,0.0625
1651434030653809331,-0.02320775017142296,-0.0020610440988093615,-0.07080470025539398,0.9998580813407898,-0.0008755024755373597,-0.0003312320914119482,0.016822321340441704,-8.681551116751507e-05,0.00019174121553078294,-0.0008799537317827344,-0.1875,0.1875,0.0625
1651434030655760072,-0.0232083797454834,-0.0020601346623152494,-0.07080451399087906,0.9998577833175659,-0.0008976320386864245,-0.0003449448850005865,0.01683557592332363,-7.911853026598692e-05,0.0002350176655454561,-0.000843197398353368,-0.1875,0.1875,0.0625
1651434030658066013,-0.023208901286125183,-0.0020592729561030865,-0.07080435752868652,0.9998576641082764,-0.000908883404918015,-0.0003518484882079065,0.016842303797602654,-6.500683230115101e-05,0.00027171449619345367,-0.0008099235128611326,-0.1875,0.1875,0.0625
1651434030659694589,-0.02320832386612892,-0.002058010082691908,-0.07080669701099396,0.999858021736145,-0.0008998116245493293,-0.00041311714448966086,0.016822120174765587,-9.68210952123627e-06,0.00032484406256116927,-0.0009005552856251597,-0.1875,0.1875,0.0625
1651434030661854730,-0.023207761347293854,-0.0020568091422319412,-0.07080897688865662,0.9998582005500793,-0.0008951799827627838,-0.00044530737795867026,0.016811514273285866,4.4184591388329864e-05,0.00036945531610399485,-0.000977458548732102,-0.1875,0.1875,0.0625
1651434030664179887,-0.02320578508079052,-0.002055599121376872,-0.07080675661563873,0.9998579621315002,-0.0009227220434695482,-0.00042444170685485005,0.01682240702211857,0.00016100541688501835,0.0004085143154952675,-0.0008352482691407204,-0.1875,0.1875,0.0625
