TIME	X_REF	Y_REF	Z_REF	QW_REF	QX_REF	QY_REF	QZ_REF	VX_REF	VY_REF	VZ_REF	AVX_REF	AVY_REF	AVZ_REF
0.2325	7.105248694	1.686554874	0.19637285	0.999936364	-0.003938619	-0.00719584	0.007668608	0.082290562	-0.016237174	1.110722757	0.024463408	-0.117635408	0.031501045
0.235	7.105412576	1.686536894	0.199152145	0.999935365	-0.00388466	-0.007362732	0.007661408	0.082253323	-0.015899734	1.11057669	0.030453339	-0.10977402	0.029603712
0.2375	7.105575411	1.686517148	0.201927817	0.999934325	-0.003833056	-0.007533589	0.007652244	0.082204879	-0.015562863	1.110393472	0.036365778	-0.101542419	0.027584465
0.24	7.105737315	1.686496563	0.204702191	0.99993325	-0.003785608	-0.007697957	0.007650592	0.082123649	-0.015233254	1.110183419	0.039918342	-0.096113234	0.026090299
0.2425	7.105899569	1.68647805	0.207475854	0.999932124	-0.003739147	-0.007858488	0.00765705	0.082017207	-0.014906231	1.109954253	0.04171537	-0.092218544	0.02454659
0.245	7.106061845	1.686463562	0.210247882	0.999930887	-0.003699029	-0.008016805	0.007674227	0.081890519	-0.014597078	1.109712914	0.042063251	-0.088944178	0.022580817
0.2475	7.106222375	1.686453118	0.213018194	0.999929535	-0.003667013	-0.00817305	0.00770152	0.081745426	-0.014312997	1.10946588	0.041482584	-0.0871196	0.021145904
0.25	7.106379996	1.686445284	0.215787953	0.999928108	-0.003643262	-0.008323923	0.007738161	0.081576245	-0.014057457	1.109219279	0.040592872	-0.086074781	0.020223441
0.2525	7.106534024	1.686438878	0.218557832	0.999926689	-0.003625889	-0.008462221	0.007783213	0.081368603	-0.013828768	1.10897889	0.039494948	-0.085522169	0.019831494
0.255	7.106685279	1.686433557	0.221328208	0.999925349	-0.003603218	-0.008588655	0.007832072	0.081125573	-0.013602361	1.108748462	0.038193394	-0.085332539	0.020168254
0.2575	7.106834633	1.686427883	0.2240998	0.9999241	-0.003575145	-0.00870051	0.007885041	0.080841706	-0.013379105	1.108531147	0.036491158	-0.084991175	0.02153421
0.26	7.10698242	1.686422376	0.226871677	0.999922924	-0.003545817	-0.008797685	0.007941504	0.080516493	-0.013168313	1.108328927	0.034849852	-0.083884646	0.023522543
0.2625	7.107129875	1.686417091	0.229643888	0.999921834	-0.003516611	-0.008882269	0.007997376	0.080153537	-0.012971858	1.108143073	0.032797325	-0.081564293	0.026244516
0.265	7.107278403	1.686411773	0.232416838	0.999920868	-0.00348143	-0.008957157	0.008048001	0.079757581	-0.012774186	1.107974614	0.030209315	-0.077903263	0.029821462
0.2675	7.107429055	1.686407395	0.235189036	0.999920051	-0.003428012	-0.009028457	0.008089829	0.079340078	-0.012545542	1.107824051	0.028107048	-0.074462718	0.032671243
0.27	7.107581814	1.686404048	0.237959518	0.999919329	-0.003359171	-0.009097875	0.00812653	0.078902263	-0.012289735	1.107692095	0.025957034	-0.070575584	0.034937539
0.2725	7.107736558	1.686400508	0.240729255	0.999918637	-0.003289685	-0.009163759	0.008161883	0.078438215	-0.012036165	1.107579484	0.023792014	-0.066209295	0.036221285
0.275	7.107892118	1.686395205	0.243499954	0.999917966	-0.003231395	-0.00922337	0.008195551	0.077940744	-0.011806241	1.10748686	0.021795626	-0.061531235	0.035977655
0.2775	7.108045605	1.68638686	0.246272608	0.999917291	-0.003189038	-0.009274609	0.008232104	0.077405571	-0.011605634	1.107414629	0.019740153	-0.056432919	0.03448143
0.28	7.10819474	1.68637522	0.249047109	0.999916593	-0.003152097	-0.009317445	0.00827808	0.076834827	-0.011406211	1.107363136	0.018279556	-0.053231343	0.032996871
0.2825	7.1083382	1.686359177	0.251823351	0.999915804	-0.003118292	-0.009353307	0.008341136	0.076235059	-0.011198513	1.107332558	0.0170594	-0.051181042	0.031805438
0.285	7.108476388	1.686339211	0.254600177	0.999914923	-0.003095651	-0.00938386	0.008416025	0.075614201	-0.010995083	1.107323371	0.015981899	-0.049537896	0.030822139
0.2875	7.10860984	1.686317499	0.257376032	0.999914025	-0.003085646	-0.009412014	0.008489882	0.074983446	-0.010794565	1.107336752	0.015377505	-0.048341561	0.030248765
0.29	7.10873959	1.686296159	0.260149888	0.999913147	-0.00309101	-0.009442494	0.008552401	0.074357686	-0.01060084	1.10737431	0.01506989	-0.046769348	0.029659128
0.2925	7.108866806	1.686276868	0.262920377	0.999912296	-0.003105712	-0.009477361	0.008603586	0.073745299	-0.010401877	1.107438741	0.014937228	-0.044103693	0.028576744
0.295	7.108992126	1.686261656	0.265687939	0.999911506	-0.003115127	-0.009520551	0.008641954	0.073158157	-0.010168527	1.107532713	0.014817345	-0.041374133	0.027152639
0.2975	7.109117188	1.686252093	0.26845357	0.999910779	-0.003109907	-0.009583245	0.008659394	0.072623238	-0.009884335	1.107657341	0.014756701	-0.03886377	0.025125354
0.3	7.109242444	1.686247738	0.271218522	0.999910067	-0.003095289	-0.009661673	0.008661773	0.072133122	-0.009567687	1.107814859	0.015108254	-0.03712924	0.022752132
0.3025	7.109366978	1.686247951	0.273984015	0.999909354	-0.00308216	-0.009744388	0.008658629	0.071662647	-0.009250104	1.108007448	0.016123356	-0.036697329	0.020378897
0.305	7.109491063	1.686251212	0.276752649	0.999908646	-0.00307125	-0.009824148	0.008656303	0.071195852	-0.008939946	1.108235749	0.017670375	-0.037778102	0.018242528
0.3075	7.109613917	1.686256527	0.279525341	0.999907993	-0.003052883	-0.009897964	0.008656129	0.070726283	-0.008621166	1.108499056	0.018842133	-0.039686779	0.017604673
0.31	7.109734822	1.686263346	0.282302252	0.999907439	-0.003013438	-0.009965158	0.008659725	0.07025263	-0.008267937	1.10879592	0.019696138	-0.041476585	0.01894515
0.3125	7.109853677	1.68627076	0.285082399	0.999906895	-0.002954543	-0.010026811	0.008675641	0.069777092	-0.007887826	1.109124458	0.020336804	-0.042283633	0.023047395
0.315	7.109971729	1.686278578	0.287863416	0.999906285	-0.002887178	-0.010090451	0.008699028	0.069316083	-0.007506379	1.109482289	0.020573365	-0.041785427	0.027494576
0.3175	7.110090336	1.686285582	0.290644753	0.999905553	-0.002826084	-0.01015994	0.008726344	0.068877779	-0.007156335	1.109868266	0.020492476	-0.040576588	0.031379427
0.32	7.110208981	1.686290496	0.293426922	0.999904664	-0.002786554	-0.010232027	0.0087606	0.068454692	-0.006871181	1.110282958	0.019931801	-0.038624247	0.03457918
0.3225	7.110325469	1.686292752	0.296209442	0.999903555	-0.002768668	-0.010304836	0.008810767	0.068043046	-0.00665049	1.110727585	0.018960598	-0.037005958	0.036130911
0.325	7.110437608	1.686291983	0.29899269	0.999902232	-0.002762669	-0.010377904	0.008879848	0.067642894	-0.006470876	1.111203838	0.01734003	-0.03619032	0.036364167
0.3275	7.110546505	1.686289778	0.301777099	0.999900782	-0.002762686	-0.010454068	0.008956124	0.067261847	-0.006316057	1.111713388	0.01519495	-0.03618245	0.035313107
0.33	7.110652235	1.686288284	0.304560832	0.999899317	-0.002771788	-0.010531164	0.009028284	0.066896062	-0.006190063	1.112258905	0.012718715	-0.036773189	0.033036913
0.3325	7.110754323	1.686288538	0.30734232	0.999897931	-0.002791742	-0.010605542	0.009089982	0.066537922	-0.006095161	1.11284351	0.009942606	-0.038257177	0.029439133
0.335	7.110854498	1.686289864	0.310122567	0.999896573	-0.002821391	-0.010677992	0.009146165	0.066188915	-0.00602891	1.113469603	0.008256615	-0.040499569	0.025913263
0.3375	7.110954169	1.686291584	0.312904248	0.999895269	-0.002859145	-0.010739753	0.00920521	0.065828285	-0.005988374	1.114140259	0.00749413	-0.043391999	0.022122271
0.34	7.111053581	1.686292948	0.315690447	0.999894123	-0.002901068	-0.010780347	0.009269749	0.065430526	-0.005964942	1.114857983	0.007405256	-0.046482007	0.018012544
0.3425	7.111151926	1.686293974	0.318481844	0.999893177	-0.002941568	-0.010798113	0.009339816	0.06498893	-0.005946458	1.115623505	0.008243234	-0.048285489	0.015633459
0.345	7.11124951	1.68629603	0.321275458	0.999892405	-0.002982192	-0.010804709	0.00940348	0.064525669	-0.005936069	1.116435532	0.010276276	-0.049249823	0.014841758
0.3475	7.111346724	1.686300357	0.324069043	0.999891804	-0.003019461	-0.010812353	0.00944773	0.064063671	-0.005925976	1.117292823	0.01332209	-0.04971679	0.015085261
0.35	7.111444459	1.686306788	0.326863159	0.999891349	-0.003040255	-0.01083402	0.009464	0.063627257	-0.005887465	1.118194117	0.015667557	-0.049825126	0.015677378
0.3525	7.111542724	1.68631431	0.329658195	0.999890922	-0.003034172	-0.01088027	0.009455626	0.06323496	-0.005798877	1.119138138	0.017628632	-0.050037563	0.016385197
0.355	7.111641979	1.686322442	0.332456124	0.999890434	-0.002993107	-0.01095437	0.009431088	0.062888915	-0.005643623	1.120123972	0.019267402	-0.050647875	0.016992477
0.3575	7.111742737	1.686331004	0.335259606	0.999889904	-0.002914178	-0.011050551	0.009396223	0.062571174	-0.005415821	1.121151179	0.020371571	-0.052100929	0.017419673
0.36	7.111844831	1.686339157	0.338069296	0.999889295	-0.002807623	-0.011159193	0.009362747	0.062255468	-0.005139001	1.122219299	0.020936922	-0.055146378	0.018052773
0.3625	7.11194836	1.686346752	0.34088332	0.999888541	-0.002695087	-0.011273478	0.009338556	0.061922618	-0.004861584	1.123327527	0.020634704	-0.058735083	0.018870718
0.365	7.112052427	1.686354451	0.343699773	0.999887579	-0.002588317	-0.011391157	0.00932816	0.061565433	-0.004609256	1.124475071	0.019253638	-0.062755424	0.019984842
0.3675	7.112154884	1.686362752	0.346516251	0.999886367	-0.00249502	-0.011510406	0.009335853	0.061179655	-0.004398328	1.125661679	0.015961007	-0.066971161	0.021725946
0.37	7.112254862	1.686371476	0.349332784	0.999884959	-0.002420005	-0.01162551	0.009361582	0.060754368	-0.004237752	1.126887911	0.011695425	-0.069621851	0.023545528
0.3725	7.112350684	1.686379506	0.352150158	0.999883461	-0.002361332	-0.011729091	0.009404799	0.060277006	-0.004120764	1.128154443	0.006206859	-0.071401503	0.025645345
0.375	7.112439327	1.686385727	0.354970818	0.999882067	-0.002315126	-0.011809247	0.009462205	0.05972648	-0.004035431	1.129461988	0.000704241	-0.072549098	0.027809794
0.3775	7.112517769	1.68638942	0.357797536	0.999880933	-0.002285706	-0.011855078	0.00953128	0.05908477	-0.003988164	1.130810405	-0.003237363	-0.07289662	0.029826026
0.38	7.112587361	1.686391562	0.360630914	0.999880062	-0.002279997	-0.011873033	0.009602107	0.058373077	-0.003991089	1.132197043	-0.005718841	-0.072313785	0.031972128
0.3825	7.112651536	1.68639301	0.363470479	0.999879307	-0.002300651	-0.011875168	0.009674239	0.057624453	-0.004048044	1.133618715	-0.00674687	-0.071094977	0.033466047
0.385	7.11271371	1.686394698	0.366315573	0.999878518	-0.00234718	-0.011873761	0.009748391	0.056870896	-0.00415636	1.135072826	-0.007487747	-0.069086902	0.034389527
0.3875	7.112776332	1.68639809	0.369164441	0.999877552	-0.002405776	-0.011888239	0.009817799	0.056159069	-0.004283088	1.136557043	-0.008088836	-0.065578467	0.034545777
0.39	7.1128409	1.686403899	0.37201522	0.999876293	-0.002465746	-0.011931698	0.00987991	0.055519526	-0.004402812	1.138070871	-0.008330205	-0.06174146	0.033823713
0.3925	7.112908552	1.686412074	0.374866878	0.99987468	-0.002523822	-0.012011325	0.009932308	0.054967972	-0.004506869	1.139615388	-0.008019675	-0.057469995	0.032674016
