%time,field.ax,field.ay,field.az,field.gx,field.gy,field.gz
1644287563454012936,-0.03999999910593033,0.0,0.07999999821186066,0.0625,-0.0625,-0.0625
1644287563471657895,-0.05000000074505806,-0.019999999552965164,0.07999999821186066,0.0,0.0,-0.0625
1644287563473621483,-0.03999999910593033,-0.019999999552965164,0.09000000357627869,0.125,0.0,0.0625
1644287563485386457,-0.029999999329447746,-0.029999999329447746,0.07000000029802322,0.0625,0.125,0.0
1644287563494430194,-0.05000000074505806,-0.029999999329447746,0.07999999821186066,0.0,-0.0625,0.0625
1644287563503587912,-0.029999999329447746,-0.019999999552965164,0.09000000357627869,-0.0625,-0.1875,0.0
1644287563514546261,-0.03999999910593033,-0.009999999776482582,0.07000000029802322,0.0625,0.0,0.0
1644287563526687921,-0.03999999910593033,0.0,0.07999999821186066,0.0625,0.5,-0.0625
1644287563536745707,-0.05000000074505806,0.0,0.09000000357627869,-0.0625,-0.125,0.0
1644287563543942088,-0.03999999910593033,0.0,0.07000000029802322,0.0625,0.0625,0.0
1644287563554359384,-0.03999999910593033,0.0,0.07000000029802322,0.0625,-0.0625,0.0
1644287563566862563,-0.029999999329447746,-0.019999999552965164,0.07999999821186066,0.0,0.0,0.125
1644287563573373125,-0.05000000074505806,-0.019999999552965164,0.07000000029802322,0.1875,-0.0625,-0.0625
1644287563583484925,-0.05999999865889549,0.0,0.07999999821186066,0.1875,0.125,-0.125
1644287563593681649,-0.03999999910593033,0.0,0.05000000074505806,0.25,0.0625,-0.0625
1644287563604053941,-0.03999999910593033,-0.019999999552965164,0.07999999821186066,0.0,0.0625,0.125
1644287563614078142,-0.03999999910593033,-0.019999999552965164,0.10999999940395355,0.0,0.1875,-0.125
1644287563623942431,-0.029999999329447746,-0.029999999329447746,0.07000000029802322,-0.125,-0.25,0.125
1644287563634448109,-0.03999999910593033,0.0,0.07000000029802322,-0.125,-0.0625,0.0
1644287563643620791,-0.029999999329447746,-0.029999999329447746,0.05000000074505806,-0.0625,-0.125,0.0625
1644287563653471696,-0.029999999329447746,0.0,0.07000000029802322,0.0625,0.0,0.0
1644287563663918758,-0.03999999910593033,0.0,0.09000000357627869,0.25,-0.125,0.0
1644287563674009276,-0.03999999910593033,0.009999999776482582,0.10000000149011612,0.0625,0.0,0.0
1644287563683590713,-0.029999999329447746,-0.009999999776482582,0.07999999821186066,0.125,0.0625,0.125
1644287563696583912,-0.05000000074505806,0.0,0.07000000029802322,0.25,-0.0625,0.0625
1644287563708269824,-0.05999999865889549,-0.009999999776482582,0.07999999821186066,0.25,-0.1875,0.0
1644287563724520589,-0.03999999910593033,-0.009999999776482582,0.09000000357627869,0.125,0.3125,0.0625
1644287563724564778,-0.029999999329447746,-0.019999999552965164,0.10000000149011612,0.0,0.1875,0.125
1644287563734217048,-0.029999999329447746,-0.029999999329447746,0.05999999865889549,-0.0625,-0.125,0.125
1644287563743100108,-0.03999999910593033,0.0,0.05000000074505806,0.0625,-0.25,0.0
1644287563753774899,-0.03999999910593033,0.0,0.05999999865889549,-0.125,-0.0625,0.0
1644287563766275121,-0.029999999329447746,-0.009999999776482582,0.07000000029802322,0.0625,0.0,0.0625
1644287563773545011,-0.03999999910593033,0.0,0.07000000029802322,0.0625,0.0625,0.0625
1644287563783954592,-0.029999999329447746,0.0,0.07000000029802322,0.0625,0.0,0.1875
1644287563793849937,-0.029999999329447746,-0.029999999329447746,0.07000000029802322,0.0625,-0.0625,-0.0625
1644287563805243389,-0.029999999329447746,-0.029999999329447746,0.10000000149011612,0.0,0.125,0.125
