%time,field.data
1646148405464387256,time:1646148405.4640317, thrl:0.00048828125, r:-0.000518798828125, p:0.746917724609375, y:-0.005401611328125, a:0.00048828125
1646148405483232197,time:1646148405.4823103, thrl:0.00048828125, r:-0.000518798828125, p:0.68927001953125, y:-0.005401611328125, a:0.00048828125
1646148405506615789,time:1646148405.5061634, thrl:0.00048828125, r:-0.000518798828125, p:0.642364501953125, y:-0.005401611328125, a:0.00048828125
1646148405522396849,time:1646148405.5219462, thrl:0.00048828125, r:-0.000518798828125, p:0.592559814453125, y:-0.005401611328125, a:0.00048828125
1646148405543953765,time:1646148405.5430708, thrl:0.00048828125, r:-0.000518798828125, p:0.572021484375, y:-0.005401611328125, a:0.00048828125
1646148405562462012,time:1646148405.5621226, thrl:0.00048828125, r:-0.000518798828125, p:0.539794921875, y:-0.005401611328125, a:0.00048828125
1646148405583316596,time:1646148405.5827074, thrl:0.00048828125, r:-0.000518798828125, p:0.490936279296875, y:-0.005401611328125, a:0.00048828125
1646148405602955259,time:1646148405.602339, thrl:0.00048828125, r:-0.000518798828125, p:0.452850341796875, y:-0.005401611328125, a:0.00048828125
1646148405623443726,time:1646148405.6228554, thrl:0.00048828125, r:-0.000518798828125, p:0.41571044921875, y:-0.005401611328125, a:0.00048828125
1646148405643200744,time:1646148405.6427088, thrl:0.00048828125, r:-0.000518798828125, p:0.41571044921875, y:-0.005401611328125, a:0.00048828125
1646148405662648325,time:1646148405.6621327, thrl:0.00048828125, r:-0.000518798828125, p:0.41571044921875, y:-0.005401611328125, a:0.00048828125
1646148405682211448,time:1646148405.6818228, thrl:0.00048828125, r:-0.000518798828125, p:0.41571044921875, y:-0.005401611328125, a:0.00048828125
1646148405705682170,time:1646148405.7052517, thrl:0.00048828125, r:-0.000518798828125, p:0.41473388671875, y:-0.005401611328125, a:0.00048828125
1646148405723071371,time:1646148405.7225895, thrl:0.00048828125, r:-0.000518798828125, p:0.41375732421875, y:-0.005401611328125, a:0.00048828125
1646148405743379796,time:1646148405.7427456, thrl:0.00048828125, r:-0.000518798828125, p:0.41375732421875, y:-0.005401611328125, a:0.00048828125
1646148405763644670,time:1646148405.7629654, thrl:0.00048828125, r:-0.000518798828125, p:0.41375732421875, y:-0.005401611328125, a:0.00048828125
