%time,field.data
1650909037698767993,time:1650909037.6984344, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037719192424,time:1650909037.718774, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037738870598,time:1650909037.738555, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037759839770,time:1650909037.7592168, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037778818851,time:1650909037.778522, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037798921606,time:1650909037.7985718, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037819156127,time:1650909037.8188272, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037839078579,time:1650909037.8387558, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037859217264,time:1650909037.8588705, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037879378360,time:1650909037.8787837, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037898715865,time:1650909037.898342, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
1650909037919074622,time:1650909037.9187422, thrl:0.00634765625, r:0.00146484375, p:0.999969482421875, y:-0.001495361328125, a:0.999969482421875, col:0.02880859375
